	Name,API_Name,Memory_GB,vCPUs,Compute_Contract_Price,On_Demand_Cost_Hourly,Hourly_DBUs,GPUs,GPU_Model,GPU_Memory_GB,Physical_Processor,Clock_Speed_GHz,Instance_Storage,Network_Performance,EBS_Optimized_Max_Bandwidth_Mbps,EBS_Optimized_Max_Throughput_128K_Mbps,EBS_As_NVMe,Enhanced_Networking,Linux_Reserved_Cost_Hourly,EBS_Optimized_Surcharge_Hourly
R5D Quadruple Extra Large,r5d.4xlarge,128.0,16,1.152,1.152,3.60,0,None,0,Intel Xeon Platinum 8175,0,600 GiB (2 * 300 GiB NVMe SSD),10 Gigabit,3500,437.5,TRUE,FALSE,0.727,0
R5D Eight Extra Large,r5d.8xlarge,256.0,32,2.304,2.304,7.20,0,None,0,Intel Xeon Platinum 8175,0,1200 GiB (2 * 600 GiB NVMe SSD),10 Gigabit,5000,625,TRUE,FALSE,1.454,0
R5D Large,r5d.large,16.0,2,0.144,0.144,0.45,0,None,0,Intel Xeon Platinum 8175,0,75 GiB NVMe SSD,10 Gigabit,3500,437.5,TRUE,FALSE,0.091,0
R5D Extra Large,r5d.xlarge,32.0,4,0.288,0.288,0.90,0,None,0,Intel Xeon Platinum 8175,0,150 GiB NVMe SSD,10 Gigabit,3500,437.5,TRUE,FALSE,0.182,0
Z1D 12xlarge,z1d.12xlarge,384.0,48,4.464,4.464,15.94,0,None,0,Intel Xeon Platinum 8151,0,1800 GiB (2 * 900 GiB NVMe SSD),25 Gigabit,14000,1750,TRUE,FALSE,2.812,0
Z1D Double Extra Large,z1d.2xlarge,64.0,8,0.744,0.744,2.66,0,None,0,Intel Xeon Platinum 8151,0,300 GiB NVMe SSD,Up to 10 Gigabit,2333,292,TRUE,FALSE,0.47,0
Z1D 3xlarge,z1d.3xlarge,96.0,12,1.116,1.116,3.99,0,None,0,Intel Xeon Platinum 8151,0,450 GiB NVMe SSD,Up to 10 Gigabit,3500,438,TRUE,FALSE,0.705,0
Z1D 6xlarge,z1d.6xlarge,192.0,24,2.232,2.232,7.97,0,None,0,Intel Xeon Platinum 8151,0,900 GiB NVMe SSD,10 Gigabit,7000,875,TRUE,FALSE,1.406,0
Z1D Large,z1d.large,16.0,2,0.186,0.186,0.66,0,None,0,Intel Xeon Platinum 8151,4,75 GiB NVMe SSD,Up to 10 Gigabit,2333,291,TRUE,FALSE,0.118,0
Z1D Extra Large,z1d.xlarge,32.0,4,0.372,0.372,1.33,0,None,0,Intel Xeon Platinum 8151,0,150 GiB NVMe SSD,Up to 10 Gigabit,2333,291,TRUE,FALSE,0.235,0
